taxon_valid_name,family,genus
Abudefduf troschelii,Pomacentridae,Abudefduf
Acanthemblemaria exilispinus,Chaenopsidae,Acanthemblemaria
Acanthemblemaria hancocki,Chaenopsidae,Acanthemblemaria
Acanthurus xanthopterus,Acanthuridae,Acanthurus
Alphestes multiguttatus,Serranidae,Alphestes
Aluterus scriptus,Monacanthidae,Aluterus
Anisotremus caesius,Haemulidae,Anisotremus
Anisotremus interruptus,Haemulidae,Anisotremus
Anisotremus taeniatus,Haemulidae,Anisotremus
Apogon,Apogonidae,Apogon
Apogon dovii,Apogonidae,Apogon
Apogon pacificus,Apogonidae,Apogon
Arothron hispidus,Tetraodontidae,Arothron
Arothron meleagris,Tetraodontidae,Arothron
Balistes polylepis,Balistidae,Balistes
Bodianus diplotaenia,Labridae,Bodianus
Canthigaster punctatissima,Tetraodontidae,Canthigaster
Caranx caballus,Carangidae,Caranx
Caranx caninus,Carangidae,Caranx
Cephalopholis panamensis,Serranidae,Cephalopholis
Chaetodon humeralis,Chaetodontidae,Chaetodon
Chromis atrilobata,Pomacentridae,Chromis
Cirrhitichthys oxycephalus,Cirrhitidae,Cirrhitichthys
Cirrhitus rivulatus,Cirrhitidae,Cirrhitus
Coryphopterus urospilus,Gobiidae,Coryphopterus
Diodon holocanthus,Diodontidae,Diodon
Diodon hystrix,Diodontidae,Diodon
Echidna nebulosa,Muraenidae,Echidna
Elacatinus puncticulatus,Gobiidae,Elacatinus
Epinephelus labriformis,Serranidae,Epinephelus
Epinephelus quinquefasciatus,Serranidae,Epinephelus
Fistularia commersonii,Fistulariidae,Fistularia
Gnathanodon speciosus,Carangidae,Gnathanodon
Gymnothorax castaneus,Muraenidae,Gymnothorax
Haemulon maculicauda,Haemulidae,Haemulon
Haemulon steindachneri,Haemulidae,Haemulon
Halichoeres chierchiae,Labridae,Halichoeres
Halichoeres dispilus,Labridae,Halichoeres
Halichoeres nicholsi,Labridae,Halichoeres
Halichoeres notospilus,Labridae,Halichoeres
Holacanthus passer,Pomacanthidae,Holacanthus
Johnrandallia nigrirostris,Chaetodontidae,Johnrandallia
Kyphosus,Kyphosidae,Kyphosus
Kyphosus ocyurus,Kyphosidae,Kyphosus
Kyphosus vaigiensis,Kyphosidae,Kyphosus
Liopropoma fasciatum,Serranidae,Liopropoma
Lutjanus argentimaculatus,Lutjanidae,Lutjanus
Lutjanus guttatus,Lutjanidae,Lutjanus
Lutjanus inermis,Lutjanidae,Lutjanus
Lutjanus novemfasciatus,Lutjanidae,Lutjanus
Lutjanus viridis,Lutjanidae,Lutjanus
Malacanthus brevirostris,Malacanthidae,Malacanthus
Malacoctenus ebisui,Labrisomidae,Malacoctenus
Microspathodon dorsalis,Pomacentridae,Microspathodon
Mulloidichthys dentatus,Mullidae,Mulloidichthys
Muraena clepsydra,Muraenidae,Muraena
Muraena lentiginosa,Muraenidae,Muraena
Mycteroperca xenarcha,Serranidae,Mycteroperca
Myripristis leiognathus,Holocentridae,Myripristis
Novaculichthys taeniourus,Labridae,Novaculichthys
Odontoscion xanthops,Sciaenidae,Odontoscion
Ophioblennius steindachneri,Blenniidae,Ophioblennius
Ostracion meleagris,Ostraciidae,Ostracion
Oxycirrhites typus,Cirrhitidae,Oxycirrhites
Paranthias colonus,Serranidae,Paranthias
Plagiotremus azaleus,Blenniidae,Plagiotremus
Pomacanthus zonipectus,Pomacanthidae,Pomacanthus
Prionurus laticlavius,Acanthuridae,Prionurus
Pseudobalistes naufragium,Balistidae,Pseudobalistes
Pseudupeneus grandisquamis,Mullidae,Pseudupeneus
Rypticus bicolor,Serranidae,Rypticus
Sargocentron suborbitale,Holocentridae,Sargocentron
Scarus ghobban,Scaridae,Scarus
Scarus perrico,Scaridae,Scarus
Scarus rubroviolaceus,Scaridae,Scarus
Scorpaena mystes,Scorpaenidae,Scorpaena
Seriola rivoliana,Carangidae,Seriola
Serranus psittacinus,Serranidae,Serranus
Stegastes acapulcoensis,Pomacentridae,Stegastes
Stegastes flavilatus,Pomacentridae,Stegastes
Sufflamen verres,Balistidae,Sufflamen
Synodus lacertinus,Synodontidae,Synodus
Thalassoma lucasanum,Labridae,Thalassoma
Urobatis halleri,Urotrygonidae,Urobatis
