family,taxon_sci_name,trophic_group
Acanthuridae,Acanthurus chirurgus,Herbivores
Acanthuridae,Acanthurus coeruleus,Herbivores
Acanthuridae,Acanthurus tractus,NA
Aulostomidae,Aulostomus maculatus,Piscivores
Balistidae,Balistes vetula,Invertivores
Balistidae,Canthidermis sufflamen,NA
Balistidae,Melichthys niger,Planktivores
Balistidae,Xanthichthys ringens,NA
Blenniidae,Ophioblennius atlanticus,Herbivores
Carangidae,Caranx bartholomaei,Piscivores
Carangidae,Caranx crysos,Piscivores
Carangidae,Caranx latus,Piscivores
Carangidae,Caranx ruber,Piscivores
Carangidae,Decapterus macarellus,NA
Carangidae,Seriola rivoliana,NA
Carcharhinidae,Carcharhinus perezii,NA
Chaetodontidae,Chaetodon capistratus,Invertivores
Chaetodontidae,Chaetodon ocellatus,Invertivores
Chaetodontidae,Chaetodon striatus,Invertivores
Chaetodontidae,Prognathodes aculeatus,Invertivores
Cirrhitidae,Amblycirrhitus pinos,Planktivores
Diodontidae,Diodon holocanthus,Invertivores
Diodontidae,Diodon hystrix,Invertivores
Echeneidae,Echeneis naucrates,NA
Ginglymostomatidae,Ginglymostoma cirratum,NA
Gobiidae,Coryphopterus dicrus,NA
Gobiidae,Coryphopterus glaucofraenum,Invertivores
Gobiidae,Coryphopterus personatus,Planktivores
Gobiidae,Elacatinus evelynae,Invertivores
Gobiidae,Elacatinus horsti,NA
Gobiidae,Elacatinus prochilos,NA
Gobiidae,Gnatholepis thompsoni,Invertivores
Grammatidae,Gramma loreto,Planktivores
Haemulidae,Brachygenys chrysargyreum,Invertivores
Haemulidae,Haemulon album,Invertivores
Haemulidae,Haemulon carbonarium,Invertivores
Haemulidae,Haemulon flavolineatum,Invertivores
Haemulidae,Haemulon melanurum,NA
Haemulidae,Haemulon parra,NA
Haemulidae,Haemulon plumierii,Invertivores
Haemulidae,Haemulon vittatum,Planktivores
Holocentridae,Holocentrus adscensionis,Invertivores
Holocentridae,Holocentrus rufus,Invertivores
Holocentridae,Myripristis jacobus,Planktivores
Holocentridae,Neoniphon marianus,Invertivores
Holocentridae,Sargocentron vexillarium,NA
Kyphosidae,Kyphosus,NA
Kyphosidae,Kyphosus sectatrix,Invertivores
Kyphosidae,Kyphosus vaigiensis,NA
Labridae,Bodianus rufus,Invertivores
Labridae,Clepticus parrae,Planktivores
Labridae,Halichoeres bivittatus,Invertivores
Labridae,Halichoeres cyanocephalus,Invertivores
Labridae,Halichoeres garnoti,Invertivores
Labridae,Halichoeres maculipinna,Invertivores
Labridae,Halichoeres pictus,Invertivores
Labridae,Halichoeres poeyi,Invertivores
Labridae,Halichoeres radiatus,Invertivores
Labridae,Thalassoma bifasciatum,Invertivores
Labrisomidae,Malacoctenus boehlkei,Invertivores
Labrisomidae,Malacoctenus macropus,NA
Labrisomidae,Malacoctenus triangulatus,Invertivores
Lutjanidae,Lutjanus apodus,Piscivores
Lutjanidae,Lutjanus mahogoni,Piscivores
Lutjanidae,Ocyurus chrysurus,Invertivores
Malacanthidae,Malacanthus plumieri,Invertivores
Monacanthidae,Aluterus scriptus,Invertivores
Monacanthidae,Cantherhines macrocerus,Invertivores
Monacanthidae,Cantherhines pullus,Herbivores
Monacanthidae,Monacanthus tuckeri,NA
Mullidae,Mulloidichthys martinicus,Invertivores
Mullidae,Pseudupeneus maculatus,Invertivores
Muraenidae,Gymnothorax miliaris,Piscivores
Muraenidae,Gymnothorax moringa,Piscivores
Ostraciidae,Acanthostracion polygonius,NA
Ostraciidae,Acanthostracion quadricornis,NA
Ostraciidae,Lactophrys bicaudalis,Invertivores
Ostraciidae,Lactophrys triqueter,Invertivores
Pomacanthidae,Centropyge argi,Herbivores
Pomacanthidae,Holacanthus ciliaris,Invertivores
Pomacanthidae,Holacanthus tricolor,Invertivores
Pomacanthidae,Pomacanthus arcuatus,Invertivores
Pomacanthidae,Pomacanthus paru,Invertivores
Pomacentridae,Abudefduf saxatilis,Planktivores
Pomacentridae,Abudefduf taurus,Planktivores
Pomacentridae,Chromis cyanea,NA
Pomacentridae,Chromis multilineata,NA
Pomacentridae,Microspathodon chrysurus,Herbivores
Pomacentridae,Stegastes adustus,Herbivores
Pomacentridae,Stegastes diencaeus,Herbivores
Pomacentridae,Stegastes leucostictus,Herbivores
Pomacentridae,Stegastes partitus,Herbivores
Pomacentridae,Stegastes planifrons,Herbivores
Pomacentridae,Stegastes xanthurus,NA
Priacanthidae,Heteropriacanthus cruentatus,Invertivores
Priacanthidae,Priacanthus arenatus,Invertivores
Scaridae,Nicholsina usta,NA
Scaridae,Scarus coelestinus,NA
Scaridae,Scarus coeruleus,NA
Scaridae,Scarus iseri,Herbivores
Scaridae,Scarus taeniopterus,Herbivores
Scaridae,Scarus vetula,Herbivores
Scaridae,Sparisoma atomarium,Herbivores
Scaridae,Sparisoma aurofrenatum,Herbivores
Scaridae,Sparisoma chrysopterum,Herbivores
Scaridae,Sparisoma rubripinne,Herbivores
Scaridae,Sparisoma viride,Herbivores
